Name|Attack|Defense|Health|Move1|Move2|Move3|Move4
Lairon|90|140|60|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Aggron|140|230|70|Iron Head:80|Flash Cannon:80|Brick Break:75|Flamethrower:90
Meditite|40|55|30|Headbutt:70|Surf:90|Hyper Beam:150|Brick Break:75
Medicham|100|85|60|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Electrike|45|40|40|Thunder Shock:40|Thunderbolt:90|Flamethrower:90|Thunder:110
Manectric|75|80|70|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Plusle|50|40|60|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Minun|40|50|60|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Volbeat|73|75|65|Headbutt:70|Slash:70|Hyper Beam:150|Energy Ball:90
Illumise|47|75|65|Headbutt:70|Surf:90|Hyper Beam:150|Energy Ball:90
Roselia|60|45|50|Vine Whip:45|Razor Leaf:55|Gunk Shot:120|Solar Beam:120
Gulpin|43|53|70|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Swalot|73|83|100|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Carvanha|90|20|45|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Sharpedo|140|70|70|Headbutt:70|Flamethrower:90|Hyper Beam:150|Brick Break:75
Wailmer|70|35|130|Water Gun:40|Bubble Beam:65|Surf:90|Hydro Pump:110
Wailord|90|45|170|Water Gun:40|Surf:90|Slash:70|Hydro Pump:110
Numel|60|40|60|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Camerupt|120|100|70|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Torkoal|85|140|70|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Spoink|25|35|60|Headbutt:70|Flamethrower:90|Hyper Beam:150|Thunderbolt:90
Grumpig|45|65|80|Headbutt:70|Body Slam:85|Bite:60|Hyper Beam:150
Spinda|60|60|60|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Trapinch|100|45|45|Mud-Slap:20|Earthquake:100|Thunderbolt:90|Energy Ball:90
Vibrava|70|50|50|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Flygon|100|80|80|Bulldoze:60|Slash:70|Earthquake:100|Rock Slide:75
Cacnea|85|40|50|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Cacturne|115|60|70|Razor Leaf:55|Rock Slide:75|Solar Beam:120|Shadow Ball:80
Swablu|40|60|45|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Altaria|110|110|75|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Zangoose|115|60|73|Headbutt:70|Brick Break:75|Hyper Beam:150|Flamethrower:90
Seviper|100|60|73|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Lunatone|55|65|90|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Solrock|95|85|90|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Barboach|48|43|50|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Whiscash|78|73|110|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Corphish|80|65|43|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Crawdaunt|120|85|63|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Baltoy|40|55|40|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Claydol|70|105|60|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Lileep|41|77|66|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Cradily|81|97|86|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Anorith|95|50|45|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Armaldo|125|100|75|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Rock Slide:75
Feebas|15|20|20|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Milotic|60|79|95|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Slash:70
Castform|70|70|70|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Kecleon|90|70|60|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Shuppet|75|35|44|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Banette|165|75|64|Astonish:30|Shadow Punch:60|Bite:60|Energy Ball:90
Duskull|40|90|20|Astonish:30|Shadow Ball:80|Slash:70|Energy Ball:90
Dusclops|70|130|40|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Tropius|68|83|99|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Chimecho|50|80|75|Tackle:40|Body Slam:85|Energy Ball:90|Hyper Beam:150
Absol|150|60|65|Night Slash:70|Crunch:80|Brick Break:75|Thunderbolt:90
Wynaut|23|48|95|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Snorunt|50|50|50|Headbutt:70|Brick Break:75|Hyper Beam:150|Rock Slide:75
Glalie|120|80|80|Ice Shard:40|Ice Beam:90|Surf:90|Blizzard:110
Spheal|40|50|70|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Sealeo|60|70|90|Tackle:40|Body Slam:85|Energy Ball:90|Hyper Beam:150
Walrein|80|90|110|Headbutt:70|Flamethrower:90|Hyper Beam:150|Energy Ball:90
Clamperl|64|85|35|Headbutt:70|Energy Ball:90|Hyper Beam:150|Energy Ball:90
Huntail|104|105|55|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Gorebyss|84|105|55|Tackle:40|Headbutt:70|Flamethrower:90|Hyper Beam:150
Relicanth|90|130|100|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Luvdisc|30|55|43|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Bagon|75|60|45|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Surf:90
Shelgon|95|100|65|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Surf:90
Salamence|145|130|95|Dragon Claw:80|Rock Slide:75|Outrage:120|Energy Ball:90
Beldum|55|80|40|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Metang|75|100|60|Struggle Bug:50|X-Scissor:80|Brick Break:75|Megahorn:120
Metagross|145|150|80|Razor Leaf:55|Energy Ball:90|Psychic:90|Solar Beam:120
Regirock|100|200|80|Rock Throw:50|Stone Edge:100|Ice Beam:90|Energy Ball:90
Regice|50|100|80|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Registeel|75|150|80|Metal Claw:50|Iron Head:80|Ice Beam:90|Surf:90
Latias|100|120|80|Dragon Claw:80|Dragon Pulse:85|Rock Slide:75|Outrage:120
Latios|130|100|80|Dragon Claw:80|Dragon Pulse:85|Brick Break:75|Outrage:120
Kyogre|150|90|100|Bubble Beam:65|Surf:90|Brick Break:75|Hydro Pump:110
Groudon|180|160|100|Bulldoze:60|Earthquake:100|Brick Break:75|Brick Break:75
Rayquaza|180|100|105|Dragon Breath:60|Dragon Claw:80|Bite:60|Outrage:120
Jirachi|100|100|100|Tackle:40|Headbutt:70|Thunderbolt:90|Hyper Beam:150
Deoxys|95|90|50|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Turtwig|68|64|55|Vine Whip:45|Razor Leaf:55|Ice Beam:90|Solar Beam:120
Grotle|89|85|75|Vine Whip:45|Razor Leaf:55|Bite:60|Solar Beam:120
Torterra|109|105|95|Razor Leaf:55|Energy Ball:90|Flamethrower:90|Solar Beam:120
Chimchar|58|44|44|Flame Wheel:60|Energy Ball:90|Fire Blast:110|Bite:60
Monferno|78|52|64|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Infernape|104|71|76|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Piplup|51|53|53|Bubble Beam:65|Flamethrower:90|Hydro Pump:110|Thunderbolt:90
Prinplup|66|68|64|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Empoleon|86|88|84|Bubble Beam:65|Steel Wing:70|Hydro Pump:110|Energy Ball:90
Starly|55|30|40|Aerial Ace:60|Air Slash:75|Hurricane:110|Aerial Ace:60
Staravia|75|50|55|Aerial Ace:60|Slash:70|Hurricane:110|Shadow Ball:80
Staraptor|120|70|85|Aerial Ace:60|Slash:70|Hurricane:110|Aerial Ace:60
Bidoof|45|40|59|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Bibarel|85|60|79|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Kricketot|25|41|37|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Kricketune|85|51|77|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Shinx|65|34|45|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Luxio|85|49|60|Spark:65|Thunderbolt:90|Ice Beam:90|Thunder:110
Luxray|120|79|80|Thunder Shock:40|Thunderbolt:90|Surf:90|Thunder:110
Budew|30|35|40|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Roserade|70|65|60|Razor Leaf:55|Energy Ball:90|Sludge:65|Solar Beam:120
Cranidos|125|40|67|Rock Slide:75|Stone Edge:100|Earth Power:90|Rock Slide:75
Rampardos|165|60|97|Rock Slide:75|Stone Edge:100|Thunderbolt:90|Slash:70
Shieldon|42|118|30|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Bastiodon|52|168|60|Headbutt:70|Body Slam:85|Bite:60|Hyper Beam:150
Burmy|29|45|40|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Wormadam|69|95|60|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Mothim|94|50|70|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Combee|30|42|30|Headbutt:70|Flamethrower:90|Hyper Beam:150|Aerial Ace:60
Vespiquen|80|102|70|Headbutt:70|Ice Beam:90|Hyper Beam:150|Slash:70
Pachirisu|45|70|60|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Buizel|65|35|55|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Floatzel|105|55|85|Fairy Wind:40|Draining Kiss:50|Rock Slide:75|Moonblast:95
Cherubi|35|45|45|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Cherrim|60|70|70|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Shellos|48|48|76|Tackle:40|Body Slam:85|Energy Ball:90|Hyper Beam:150
Gastrodon|83|68|111|Astonish:30|Shadow Ball:80|Brick Break:75|Thunderbolt:90
Ambipom|100|66|75|Headbutt:70|Rock Slide:75|Hyper Beam:150|Brick Break:75
Drifloon|50|34|90|Aerial Ace:60|Air Slash:75|Dazzling Gleam:80|Hurricane:110
Drifblim|80|44|150|Aerial Ace:60|Air Slash:75|Surf:90|Hurricane:110
Buneary|66|44|55|Headbutt:70|Rock Slide:75|Hyper Beam:150|Flamethrower:90
Lopunny|136|94|65|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Mismagius|60|60|60|Headbutt:70|Slash:70|Hyper Beam:150|Ice Beam:90
Honchkrow|125|52|100|Bite:60|Crunch:80|Aerial Ace:60|Thunderbolt:90
Glameow|55|42|49|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Purugly|82|64|71|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Chingling|30|50|45|Headbutt:70|Surf:90|Hyper Beam:150|Brick Break:75
Stunky|63|47|63|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Skuntank|93|67|103|Night Slash:70|Brick Break:75|Hyper Beam:150|Energy Ball:90
Bronzor|24|86|57|Headbutt:70|Brick Break:75|Hyper Beam:150|Thunderbolt:90
Bronzong|89|116|67|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Bonsly|80|95|50|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Mime Jr.|25|45|20|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Happiny|5|5|100|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Chatot|65|45|76|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Spiritomb|92|108|50|Shadow Punch:60|Shadow Ball:80|Surf:90|Ice Beam:90
Gible|70|45|58|Headbutt:70|Brick Break:75|Hyper Beam:150|Shadow Ball:80
Gabite|90|65|68|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Garchomp|170|115|108|Mud-Slap:20|Earthquake:100|Dragon Pulse:85|Energy Ball:90
Munchlax|85|40|135|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Bite:60
Riolu|70|40|40|Headbutt:70|Energy Ball:90|Hyper Beam:150|Ice Beam:90
Lucario|145|88|70|Brick Break:75|Close Combat:120|Iron Head:80|Focus Punch:150
Hippopotas|72|78|68|Mud-Slap:20|Earthquake:100|Rock Slide:75|Bite:60
Hippowdon|112|118|108|Bulldoze:60|Earthquake:100|Flamethrower:90|Shadow Ball:80
Skorupi|50|90|40|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Drapion|90|110|70|Night Slash:70|Crunch:80|Flamethrower:90|Energy Ball:90
Croagunk|61|40|48|Sludge:65|Sludge Bomb:90|Shadow Ball:80|Gunk Shot:120
Toxicroak|106|65|83|Brick Break:75|Sludge:65|Close Combat:120|Energy Ball:90
Carnivine|100|72|74|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Finneon|49|56|49|Tackle:40|Headbutt:70|Flamethrower:90|Hyper Beam:150
Lumineon|69|76|69|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Mantyke|20|50|45|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Snover|62|50|60|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Abomasnow|132|105|90|Headbutt:70|Ice Beam:90|Hyper Beam:150|Bite:60
Weavile|120|65|70|Vine Whip:45|Energy Ball:90|Night Slash:70|Solar Beam:120
Magnezone|70|115|70|Thunder Shock:40|Thunderbolt:90|Iron Head:80|Thunder:110
Lickilicky|85|95|110|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Rhyperior|140|130|115|Rock Slide:75|Stone Edge:100|Energy Ball:90|Thunderbolt:90
Tangrowth|100|125|100|Tackle:40|Body Slam:85|Slash:70|Hyper Beam:150
Electivire|123|67|75|Spark:65|Shadow Ball:80|Thunder:110|Ice Beam:90
Magmortar|95|67|75|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Togekiss|50|95|85|Thunder Shock:40|Thunderbolt:90|Draining Kiss:50|Thunder:110
Yanmega|76|86|86|Bug Bite:60|Aerial Ace:60|Megahorn:120|Ice Beam:90
Leafeon|110|130|65|Razor Leaf:55|Energy Ball:90|Bite:60|Solar Beam:120
Glaceon|60|110|65|Headbutt:70|Flamethrower:90|Hyper Beam:150|Shadow Ball:80
Gliscor|95|125|75|Bulldoze:60|Earthquake:100|Surf:90|Flamethrower:90
Mamoswine|130|80|110|Powder Snow:40|Ice Shard:40|Earthquake:100|Blizzard:110
Porygon-Z|80|70|85|Tackle:40|Body Slam:85|Slash:70|Hyper Beam:150
Gallade|165|95|68|Brick Break:75|Focus Punch:150|Rock Slide:75|Aerial Ace:60
Probopass|55|145|60|Iron Head:80|Slash:70|Ice Beam:90|Slash:70
Dusknoir|100|135|45|Shadow Punch:60|Shadow Ball:80|Surf:90|Flamethrower:90
Froslass|80|70|70|Razor Leaf:55|Energy Ball:90|Ice Shard:40|Solar Beam:120
Rotom|65|107|50|Thunder Shock:40|Thunderbolt:90|Shadow Punch:60|Thunder:110
Uxie|75|130|75|Confusion:50|Psybeam:65|Shadow Ball:80|Flamethrower:90
Mesprit|105|105|80|Psybeam:65|Bite:60|Hyper Beam:150|Rock Slide:75
Azelf|125|70|75|Confusion:50|Psybeam:65|Energy Ball:90|Surf:90
Dialga|120|120|100|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Palkia|120|100|90|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Heatran|90|106|91|Ember:40|Flame Wheel:60|Bite:60|Fire Blast:110
Regigigas|160|110|110|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Giratina|120|100|150|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Cresselia|70|120|120|Psybeam:65|Brick Break:75|Surf:90|Thunderbolt:90
Phione|80|80|80|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Manaphy|100|100|100|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Darkrai|90|90|70|Night Slash:70|Thunderbolt:90|Ice Beam:90|Energy Ball:90
Shaymin|103|75|100|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Arceus|120|120|120|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Victini|100|100|100|Razor Leaf:55|Slash:70|Solar Beam:120|Ice Beam:90
Snivy|45|55|45|Razor Leaf:55|Energy Ball:90|Solar Beam:120|Ice Beam:90
Servine|60|75|60|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Serperior|75|95|75|Razor Leaf:55|Energy Ball:90|Slash:70|Solar Beam:120
Tepig|63|45|65|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Pignite|93|55|90|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Emboar|123|65|110|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Oshawott|55|45|55|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Dewott|75|60|75|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Samurott|100|85|95|Headbutt:70|Slash:70|Hyper Beam:150|Slash:70
Patrat|55|39|45|Headbutt:70|Brick Break:75|Hyper Beam:150|Surf:90
Watchog|85|69|60|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Lillipup|60|45|45|Vine Whip:45|Energy Ball:90|Shadow Ball:80|Solar Beam:120
Herdier|80|65|65|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Stoutland|110|90|85|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Purrloin|50|37|41|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Ice Beam:90
Liepard|88|50|64|Headbutt:70|Slash:70|Hyper Beam:150|Aerial Ace:60
Pansage|53|48|50|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Simisage|98|63|75|Headbutt:70|Surf:90|Hyper Beam:150|Rock Slide:75
Pansear|53|48|50|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Simisear|98|63|75|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Panpour|53|48|50|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Simipour|98|63|75|Tackle:40|Body Slam:85|Rock Slide:75|Hyper Beam:150
Munna|25|45|76|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Musharna|55|85|116|Headbutt:70|Bite:60|Hyper Beam:150|Aerial Ace:60
Pidove|55|50|50|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Tranquill|77|62|62|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Unfezant|115|80|80|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Ice Beam:90
Blitzle|60|32|45|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Zebstrika|100|63|75|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Roggenrola|75|85|55|Headbutt:70|Slash:70|Hyper Beam:150|Rock Slide:75
Boldore|105|105|70|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Gigalith|135|130|85|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Woobat|45|43|65|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Swoobat|57|55|67|Headbutt:70|Energy Ball:90|Hyper Beam:150|Aerial Ace:60
Drilbur|85|40|60|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Excadrill|135|60|110|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Audino|60|126|103|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Aerial Ace:60
Timburr|80|55|75|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Gurdurr|105|85|85|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Conkeldurr|140|95|105|Brick Break:75|Close Combat:120|Aerial Ace:60|Surf:90
Tympole|50|40|50|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Palpitoad|65|55|75|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Seismitoad|95|75|105|Headbutt:70|Energy Ball:90|Hyper Beam:150|Flamethrower:90
Throh|100|85|120|Karate Chop:50|Brick Break:75|Thunderbolt:90|Close Combat:120
Sawk|125|75|75|Brick Break:75|Energy Ball:90|Focus Punch:150|Surf:90
Sewaddle|53|70|45|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Swadloon|63|90|55|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Shadow Ball:80
Leavanny|103|80|75|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Venipede|45|59|30|Headbutt:70|Surf:90|Hyper Beam:150|Ice Beam:90
Whirlipede|55|99|40|Tackle:40|Body Slam:85|Energy Ball:90|Hyper Beam:150
Scolipede|100|89|60|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Rock Slide:75
Cottonee|27|60|40|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Whimsicott|67|85|60|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Petilil|35|50|45|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Lilligant|60|75|70|Vine Whip:45|Energy Ball:90|Brick Break:75|Solar Beam:120
Basculin|92|65|70|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Sandile|72|35|50|Bulldoze:60|Slash:70|Earthquake:100|Thunderbolt:90
Krokorok|82|45|60|Headbutt:70|Body Slam:85|Energy Ball:90|Hyper Beam:150
Krookodile|117|80|95|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Surf:90
Darumaka|90|45|70|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Darmanitan|30|105|105|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Maractus|86|67|75|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Dwebble|65|85|50|Headbutt:70|Bite:60|Hyper Beam:150|Flamethrower:90
Crustle|105|125|70|Bug Bite:60|Flamethrower:90|Megahorn:120|Surf:90
Scraggy|75|70|50|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Surf:90
Scrafty|90|115|65|Headbutt:70|Flamethrower:90|Hyper Beam:150|Flamethrower:90
Sigilyph|58|80|72|Tackle:40|Headbutt:70|Thunderbolt:90|Hyper Beam:150
Yamask|30|85|38|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Cofagrigus|50|145|58|Headbutt:70|Surf:90|Hyper Beam:150|Brick Break:75
Tirtouga|78|103|54|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Carracosta|108|133|74|Tackle:40|Body Slam:85|Rock Slide:75|Hyper Beam:150
Archen|112|45|55|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Archeops|140|65|75|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Trubbish|50|62|50|Metal Claw:50|Iron Head:80|Brick Break:75|Hyper Beam:150
Garbodor|95|82|80|Poison Sting:15|Sludge:65|Thunderbolt:90|Gunk Shot:120
Zorua|65|40|40|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Zoroark|105|60|60|Night Slash:70|Bite:60|Thunderbolt:90|Ice Beam:90
Minccino|50|40|55|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Cinccino|95|60|75|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Gothita|30|50|45|Psybeam:65|Psychic:90|Energy Ball:90|Surf:90
Gothorita|45|70|60|Psybeam:65|Psychic:90|Energy Ball:90|Thunderbolt:90
Gothitelle|55|95|70|Confusion:50|Psychic:90|Bite:60|Surf:90
Solosis|30|40|45|Headbutt:70|Slash:70|Hyper Beam:150|Bite:60
Duosion|40|50|65|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Reuniclus|65|75|110|Confusion:50|Psybeam:65|Shadow Ball:80|Thunderbolt:90
Ducklett|44|50|62|Water Gun:40|Bubble Beam:65|Flamethrower:90|Hydro Pump:110
Swanna|87|63|75|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Vanillite|50|50|36|Ice Shard:40|Ice Beam:90|Blizzard:110|Rock Slide:75
Vanillish|65|65|51|Ice Shard:40|Ice Beam:90|Aerial Ace:60|Blizzard:110
Vanilluxe|95|85|71|Spark:65|Thunderbolt:90|Ice Shard:40|Thunder:110
Deerling|60|50|60|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Aerial Ace:60
Sawsbuck|100|70|80|Headbutt:70|Ice Beam:90|Hyper Beam:150|Slash:70
Emolga|75|60|55|Headbutt:70|Brick Break:75|Hyper Beam:150|Brick Break:75
Karrablast|75|45|50|Bubble Beam:65|Aerial Ace:60|Hydro Pump:110|Rock Slide:75
Escavalier|135|105|70|Ice Shard:40|Shadow Ball:80|Blizzard:110|Aerial Ace:60
Foongus|55|45|69|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Flamethrower:90
Amoonguss|85|70|114|Tackle:40|Body Slam:85|Slash:70|Hyper Beam:150
Frillish|40|50|55|Headbutt:70|Energy Ball:90|Hyper Beam:150|Aerial Ace:60
Jellicent|60|70|100|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Alomomola|75|80|165|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Joltik|47|50|50|Spark:65|Surf:90|Thunder:110|Thunderbolt:90
Galvantula|77|60|70|Struggle Bug:50|Bug Bite:60|Brick Break:75|Megahorn:120
Ferroseed|50|91|44|Razor Leaf:55|Energy Ball:90|Gunk Shot:120|Solar Beam:120
Ferrothorn|94|131|74|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Klink|55|70|40|Metal Claw:50|Flash Cannon:80|Flamethrower:90|Energy Ball:90
Klang|80|95|60|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Klinklang|100|115|60|Metal Claw:50|Flash Cannon:80|Surf:90|Thunderbolt:90
Tynamo|55|40|35|Tackle:40|Headbutt:70|Flamethrower:90|Hyper Beam:150
Eelektrik|85|70|65|Spark:65|Shadow Ball:80|Thunder:110|Bite:60
Eelektross|115|80|85|Vine Whip:45|Razor Leaf:55|Thunder:110|Solar Beam:120
Elgyem|55|55|55|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Beheeyem|75|75|75|Psybeam:65|Psychic:90|Energy Ball:90|Ice Beam:90
Litwick|30|55|50|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Thunderbolt:90
Lampent|40|60|60|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Chandelure|55|90|60|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
